# Column by column CTE scaling.
#
# COLUMN - Column number
# AMPA - Scaling values for AMP A
# AMPB - Scaling values for AMP B
# AMPC - Scaling values for AMP C
# AMPD - Scaling values for AMP D
#
# First row must be column names
#
COLUMN      AMPA        AMPB       AMPC       AMPD
1           1.000       1.000      1.000      1.000
2           1.000       1.000      1.000      1.000
3           1.000       1.000      1.000      1.000
4           1.000       1.000      1.000      1.000
5           1.000       1.000      1.000      1.000
6           1.000       1.000      1.000      1.000
7           1.000       1.000      1.000      1.000
8           1.000       1.000      1.000      1.000
9           1.000       1.000      1.000      1.000
10          1.000       1.000      1.000      1.000
11          1.000       1.000      1.000      1.000
12          1.000       1.000      1.000      1.000
13          1.000       1.000      1.000      1.000
14          1.000       1.000      1.000      1.000
15          1.000       1.000      1.000      1.000
16          1.000       1.000      1.000      1.000
17          1.000       1.000      1.000      1.000
18          1.000       1.000      1.000      1.000
19          1.000       1.000      1.000      1.000
20          1.000       1.000      1.000      1.000
21          1.000       1.000      1.000      1.000
22          1.000       1.000      1.000      1.000
23          1.000       1.000      1.000      1.000
24          1.000       1.000      1.000      1.000
25          1.052       0.968      1.055      1.101
26          1.030       0.938      0.965      0.867
27          1.014       0.964      1.230      0.908
28          1.103       1.108      0.983      1.023
29          1.018       0.958      0.915      0.929
30          1.075       1.004      1.157      1.105
31          1.159       0.929      1.155      1.012
32          1.094       1.030      0.907      0.854
33          1.056       0.967      0.955      1.017
34          0.957       0.996      0.909      0.937
35          1.107       0.896      0.994      0.991
36          0.953       0.993      1.002      1.028
37          0.999       1.106      0.986      1.119
38          1.008       1.081      1.016      0.900
39          0.950       1.047      0.966      0.873
40          1.001       0.995      1.014      1.163
41          0.960       0.985      0.942      1.008
42          1.137       0.990      0.988      1.039
43          1.032       1.067      0.927      0.899
44          1.044       0.902      1.015      0.892
45          0.964       1.012      1.050      1.024
46          0.970       0.971      1.091      0.947
47          1.014       1.087      0.975      1.307
48          1.076       0.946      0.995      1.113
49          1.041       1.140      0.983      1.038
50          1.078       0.986      0.985      0.798
51          1.049       1.040      0.855      1.214
52          1.164       0.969      1.082      0.960
53          1.172       1.029      1.186      0.986
54          0.948       0.995      1.044      1.076
55          1.024       0.934      1.044      1.099
56          1.114       0.990      1.041      1.053
57          1.052       0.968      0.988      0.948
58          0.913       1.031      0.959      1.213
59          1.066       1.147      0.904      0.876
60          1.093       1.007      1.256      0.960
61          0.954       0.950      0.831      0.849
62          0.997       1.126      1.002      1.139
63          1.353       0.901      1.042      1.045
64          0.974       1.029      1.038      1.013
65          0.949       1.050      0.787      1.274
66          0.938       0.960      1.004      0.887
67          0.919       1.017      1.110      0.957
68          1.005       1.055      1.055      1.045
69          1.019       0.889      1.068      0.809
70          0.901       0.863      1.002      0.891
71          0.783       1.042      0.967      0.916
72          0.919       0.994      1.121      0.982
73          0.884       1.153      0.765      1.032
74          0.879       1.018      1.018      0.991
75          1.057       0.883      1.176      0.871
76          0.811       1.074      0.967      0.917
77          0.944       1.032      1.099      1.018
78          0.928       1.133      1.063      1.048
79          1.003       0.924      0.952      0.890
80          0.953       1.155      0.932      0.963
81          0.899       0.950      0.986      1.030
82          0.991       0.987      0.980      1.015
83          1.107       0.950      1.005      1.052
84          0.876       0.885      1.089      0.920
85          0.929       0.921      1.019      0.878
86          0.999       1.031      1.017      1.069
87          0.997       0.848      0.898      0.784
88          1.083       1.073      1.021      1.112
89          0.956       0.916      0.869      1.000
90          1.088       1.086      0.910      0.994
91          1.245       0.874      1.152      0.839
92          1.103       0.939      0.888      1.172
93          1.177       0.924      0.954      0.981
94          1.004       0.920      1.206      0.971
95          1.030       0.970      1.082      0.968
96          0.997       1.065      0.895      1.167
97          0.947       1.075      0.928      1.124
98          1.136       0.907      0.926      0.896
99          1.114       1.157      0.971      0.974
100         1.067       1.086      0.938      1.252
101         0.972       1.031      1.069      1.012
102         1.006       0.936      0.993      0.982
103         0.931       1.097      0.950      1.017
104         1.021       0.977      1.090      1.047
105         0.765       1.032      0.904      1.157
106         1.056       1.070      0.904      1.071
107         1.036       1.012      0.953      0.941
108         0.937       1.181      1.018      1.129
109         1.116       0.978      1.075      1.020
110         0.977       0.977      1.040      0.818
111         1.050       0.884      1.006      0.895
112         0.880       0.920      1.008      1.010
113         1.015       1.094      0.943      0.996
114         0.936       0.887      0.912      1.046
115         0.835       1.068      0.847      1.104
116         0.911       0.954      1.013      1.040
117         0.865       0.901      0.984      0.872
118         0.958       1.024      1.083      1.136
119         1.024       1.121      0.990      0.950
120         1.176       0.978      1.132      0.922
121         0.957       0.976      1.085      1.040
122         1.146       0.885      1.277      0.938
123         0.906       0.833      0.914      0.904
124         1.012       1.009      1.041      0.994
125         0.948       0.922      0.993      0.777
126         1.068       0.949      1.021      0.755
127         0.969       1.095      1.077      0.992
128         1.082       1.033      0.859      1.029
129         0.992       0.995      1.110      1.231
130         0.976       0.991      0.968      0.904
131         0.908       0.999      0.930      0.984
132         1.024       1.164      0.960      1.058
133         0.859       0.994      0.858      0.914
134         0.917       1.033      0.890      0.904
135         1.147       0.951      1.068      1.070
136         0.952       0.958      1.148      0.822
137         1.006       0.997      0.794      0.993
138         1.154       0.924      1.047      1.012
139         0.910       0.994      0.958      0.809
140         0.970       0.863      1.039      0.927
141         1.020       1.132      1.039      1.242
142         0.990       0.971      0.957      1.003
143         1.114       1.101      0.965      0.993
144         1.114       0.944      1.086      0.792
145         1.009       0.968      1.094      1.011
146         1.109       0.908      0.961      0.833
147         0.955       0.992      0.908      1.094
148         0.978       0.888      0.966      0.807
149         0.856       2.245      0.810      4.264
150         0.949       0.950      1.038      1.059
151         1.296       0.987      0.910      1.034
152         0.914       1.096      1.085      0.857
153         0.997       0.910      0.915      0.978
154         1.106       1.069      1.118      1.135
155         1.016       0.876      0.941      0.723
156         1.031       1.081      0.955      0.940
157         0.806       0.993      1.021      0.894
158         1.053       0.964      1.032      0.871
159         1.085       0.969      1.113      0.923
160         0.947       1.068      0.934      0.890
161         1.038       0.911      1.007      0.791
162         0.843       0.942      1.059      0.840
163         1.075       0.911      1.068      0.814
164         0.987       0.973      1.033      0.824
165         0.845       1.058      0.971      1.110
166         0.830       1.033      0.939      1.069
167         0.941       1.088      1.191      1.177
168         1.065       0.954      0.973      0.733
169         1.032       1.002      1.102      1.073
170         0.969       0.870      1.017      1.086
171         0.870       0.946      1.030      0.996
172         0.973       0.848      1.018      0.890
173         0.899       0.963      0.969      1.013
174         2.574       1.125      0.955      1.203
175         0.893       0.896      0.891      0.877
176         0.803       1.030      0.773      1.019
177         1.008       0.981      0.980      1.046
178         1.011       0.840      1.167      0.951
179         0.905       1.033      0.916      1.145
180         1.180       0.918      1.142      1.160
181         1.128       1.050      1.018      1.099
182         0.981       1.095      1.005      1.030
183         0.981       1.101      0.883      0.926
184         1.046       1.034      1.004      1.032
185         0.952       1.083      0.941      1.082
186         0.943       1.055      1.001      1.219
187         0.998       0.931      1.048      0.803
188         1.033       1.019      1.169      1.144
189         0.833       0.933      1.103      1.032
190         0.970       1.038      0.996      0.994
191         0.915       1.176      1.020      0.909
192         0.997       0.955      1.060      0.926
193         0.966       1.099      1.012      0.942
194         0.981       1.241      1.056      0.883
195         1.019       0.994      0.949      0.825
196         1.050       1.076      1.149      1.024
197         0.817       0.869      0.972      0.868
198         0.974       0.926      1.136      0.954
199         1.064       1.010      0.965      0.922
200         0.946       1.009      1.053      1.191
201         1.122       0.931      0.947      0.970
202         0.868       1.067      0.930      1.133
203         1.012       0.875      0.934      0.888
204         0.783       1.072      0.839      0.901
205         0.843       0.982      0.802      0.977
206         1.113       1.012      0.983      1.122
207         0.857       0.979      0.890      0.987
208         1.079       1.028      1.184      1.166
